#             R [au]           V(R) [eV]
    1.000000000000E0    3.020996904889E0
    1.001667222407E0    3.000064231815E0
    1.003334444815E0    2.979229853075E0
    1.005001667222E0    2.958493356868E0
    1.006668889630E0    2.937854333039E0
    1.008336112037E0    2.917312373074E0
    1.010003334445E0    2.896867070092E0
    1.011670556852E0    2.876518018841E0
    1.013337779260E0    2.856264815691E0
    1.015005001667E0    2.836107058626E0
    1.016672224075E0    2.816044347239E0
    1.018339446482E0    2.796076282725E0
    1.020006668890E0    2.776202467876E0
    1.021673891297E0    2.756422507073E0
    1.023341113705E0    2.736736006282E0
    1.025008336112E0    2.717142573045E0
    1.026675558520E0    2.697641816477E0
    1.028342780927E0    2.678233347256E0
    1.030010003334E0    2.658916777621E0
    1.031677225742E0    2.639691721362E0
    1.033344448149E0    2.620557793818E0
    1.035011670557E0    2.601514611867E0
    1.036678892964E0    2.582561793922E0
    1.038346115372E0    2.563698959926E0
    1.040013337779E0    2.544925731344E0
    1.041680560187E0    2.526241731156E0
    1.043347782594E0    2.507646583855E0
    1.045015005002E0    2.489139915439E0
    1.046682227409E0    2.470721353403E0
    1.048349449817E0    2.452390526737E0
    1.050016672224E0    2.434147065917E0
    1.051683894632E0    2.415990602902E0
    1.053351117039E0    2.397920771124E0
    1.055018339446E0    2.379937205487E0
    1.056685561854E0    2.362039542359E0
    1.058352784261E0    2.344227419565E0
    1.060020006669E0    2.326500476384E0
    1.061687229076E0    2.308858353541E0
    1.063354451484E0    2.291300693202E0
    1.065021673891E0    2.273827138970E0
    1.066688896299E0    2.256437335876E0
    1.068356118706E0    2.239130930378E0
    1.070023341114E0    2.221907570350E0
    1.071690563521E0    2.204766905080E0
    1.073357785929E0    2.187708585265E0
    1.075025008336E0    2.170732263002E0
    1.076692230744E0    2.153837591787E0
    1.078359453151E0    2.137024226506E0
    1.080026675559E0    2.120291823429E0
    1.081693897966E0    2.103640040209E0
    1.083361120373E0    2.087068535873E0
    1.085028342781E0    2.070576970816E0
    1.086695565188E0    2.054165006799E0
    1.088362787596E0    2.037832306941E0
    1.090030010003E0    2.021578535714E0
    1.091697232411E0    2.005403358939E0
    1.093364454818E0    1.989306443779E0
    1.095031677226E0    1.973287458734E0
    1.096698899633E0    1.957346073637E0
    1.098366122041E0    1.941481959649E0
    1.100033344448E0    1.925694789252E0
    1.101700566856E0    1.909984236243E0
    1.103367789263E0    1.894349975733E0
    1.105035011671E0    1.878791684138E0
    1.106702234078E0    1.863309039176E0
    1.108369456485E0    1.847901719860E0
    1.110036678893E0    1.832569406495E0
    1.111703901300E0    1.817311780672E0
    1.113371123708E0    1.802128525260E0
    1.115038346115E0    1.787019324409E0
    1.116705568523E0    1.771983863536E0
    1.118372790930E0    1.757021829325E0
    1.120040013338E0    1.742132909721E0
    1.121707235745E0    1.727316793924E0
    1.123374458153E0    1.712573172387E0
    1.125041680560E0    1.697901736806E0
    1.126708902968E0    1.683302180122E0
    1.128376125375E0    1.668774196509E0
    1.130043347783E0    1.654317481374E0
    1.131710570190E0    1.639931731351E0
    1.133377792598E0    1.625616644295E0
    1.135045015005E0    1.611371919278E0
    1.136712237412E0    1.597197256584E0
    1.138379459820E0    1.583092357705E0
    1.140046682227E0    1.569056925336E0
    1.141713904635E0    1.555090663369E0
    1.143381127042E0    1.541193276891E0
    1.145048349450E0    1.527364472175E0
    1.146715571857E0    1.513603956680E0
    1.148382794265E0    1.499911439043E0
    1.150050016672E0    1.486286629077E0
    1.151717239080E0    1.472729237764E0
    1.153384461487E0    1.459238977251E0
    1.155051683895E0    1.445815560848E0
    1.156718906302E0    1.432458703018E0
    1.158386128710E0    1.419168119378E0
    1.160053351117E0    1.405943526692E0
    1.161720573525E0    1.392784642866E0
    1.163387795932E0    1.379691186944E0
    1.165055018339E0    1.366662879105E0
    1.166722240747E0    1.353699440656E0
    1.168389463154E0    1.340800594030E0
    1.170056685562E0    1.327966062779E0
    1.171723907969E0    1.315195571571E0
    1.173391130377E0    1.302488846188E0
    1.175058352784E0    1.289845613515E0
    1.176725575192E0    1.277265601545E0
    1.178392797599E0    1.264748539365E0
    1.180060020007E0    1.252294157159E0
    1.181727242414E0    1.239902186200E0
    1.183394464822E0    1.227572358845E0
    1.185061687229E0    1.215304408536E0
    1.186728909637E0    1.203098069788E0
    1.188396132044E0    1.190953078193E0
    1.190063354451E0    1.178869170408E0
    1.191730576859E0    1.166846084156E0
    1.193397799266E0    1.154883558221E0
    1.195065021674E0    1.142981332441E0
    1.196732244081E0    1.131139147708E0
    1.198399466489E0    1.119356745960E0
    1.200066688896E0    1.107633870181E0
    1.201733911304E0    1.095970264391E0
    1.203401133711E0    1.084365673649E0
    1.205068356119E0    1.072819844043E0
    1.206735578526E0    1.061332522690E0
    1.208402800934E0    1.049903457729E0
    1.210070023341E0    1.038532398318E0
    1.211737245749E0    1.027219094631E0
    1.213404468156E0    1.015963297854E0
    1.215071690564E0    1.004764760178E0
    1.216738912971E0   9.936232348000E-1
    1.218406135378E0   9.825384759136E-1
    1.220073357786E0   9.715102387095E-1
    1.221740580193E0   9.605382793694E-1
    1.223407802601E0   9.496223550627E-1
    1.225075025008E0   9.387622239421E-1
    1.226742247416E0   9.279576451405E-1
    1.228409469823E0   9.172083787664E-1
    1.230076692231E0   9.065141859007E-1
    1.231743914638E0   8.958748285923E-1
    1.233411137046E0   8.852900698546E-1
    1.235078359453E0   8.747596736618E-1
    1.236745581861E0   8.642834049447E-1
    1.238412804268E0   8.538610295874E-1
    1.240080026676E0   8.434923144232E-1
    1.241747249083E0   8.331770272310E-1
    1.243414471490E0   8.229149367315E-1
    1.245081693898E0   8.127058125839E-1
    1.246748916305E0   8.025494253813E-1
    1.248416138713E0   7.924455466480E-1
    1.250083361120E0   7.823939488351E-1
    1.251750583528E0   7.723944053174E-1
    1.253417805935E0   7.624466903893E-1
    1.255085028343E0   7.525505792615E-1
    1.256752250750E0   7.427058480572E-1
    1.258419473158E0   7.329122738085E-1
    1.260086695565E0   7.231696344530E-1
    1.261753917973E0   7.134777088301E-1
    1.263421140380E0   7.038362766772E-1
    1.265088362788E0   6.942451186269E-1
    1.266755585195E0   6.847040162024E-1
    1.268422807603E0   6.752127518151E-1
    1.270090030010E0   6.657711087601E-1
    1.271757252417E0   6.563788712135E-1
    1.273424474825E0   6.470358242284E-1
    1.275091697232E0   6.377417537317E-1
    1.276758919640E0   6.284964465207E-1
    1.278426142047E0   6.192996902594E-1
    1.280093364455E0   6.101512734753E-1
    1.281760586862E0   6.010509855559E-1
    1.283427809270E0   5.919986167453E-1
    1.285095031677E0   5.829939581411E-1
    1.286762254085E0   5.740368016903E-1
    1.288429476492E0   5.651269401870E-1
    1.290096698900E0   5.562641672680E-1
    1.291763921307E0   5.474482774102E-1
    1.293431143715E0   5.386790659271E-1
    1.295098366122E0   5.299563289652E-1
    1.296765588530E0   5.212798635012E-1
    1.298432810937E0   5.126494673384E-1
    1.300100033344E0   5.040649391034E-1
    1.301767255752E0   4.955260782431E-1
    1.303434478159E0   4.870326850211E-1
    1.305101700567E0   4.785845605151E-1
    1.306768922974E0   4.701815066128E-1
    1.308436145382E0   4.618233260096E-1
    1.310103367789E0   4.535098222046E-1
    1.311770590197E0   4.452407994981E-1
    1.313437812604E0   4.370160629880E-1
    1.315105035012E0   4.288354185670E-1
    1.316772257419E0   4.206986729189E-1
    1.318439479827E0   4.126056335161E-1
    1.320106702234E0   4.045561086162E-1
    1.321773924642E0   3.965499072588E-1
    1.323441147049E0   3.885868392626E-1
    1.325108369456E0   3.806667152222E-1
    1.326775591864E0   3.727893465051E-1
    1.328442814271E0   3.649545452486E-1
    1.330110036679E0   3.571621243568E-1
    1.331777259086E0   3.494118974975E-1
    1.333444481494E0   3.417036790993E-1
    1.335111703901E0   3.340372843485E-1
