#             e [au]            f [a.u.]
  -7.510191731594E-1    1.000000000000E0
  -7.502674022153E-1    1.000000000000E0
  -7.495156312712E-1    1.000000000000E0
  -7.487638603271E-1    1.000000000000E0
  -7.480120893830E-1    1.000000000000E0
  -7.472603184389E-1    1.000000000000E0
  -7.465085474948E-1    1.000000000000E0
  -7.457567765507E-1    1.000000000000E0
  -7.450050056066E-1    1.000000000000E0
  -7.442532346625E-1   -1.000000000000E0
  -7.435014637184E-1   -1.000000000000E0
  -7.427496927742E-1   -1.000000000000E0
  -7.419979218301E-1   -1.000000000000E0
  -7.412461508860E-1   -1.000000000000E0
  -7.404943799419E-1   -1.000000000000E0
  -7.397426089978E-1   -1.000000000000E0
  -7.389908380537E-1   -1.000000000000E0
  -7.382390671096E-1   -1.000000000000E0
  -7.374872961655E-1   -1.000000000000E0
  -7.367355252214E-1   -1.000000000000E0
  -7.359837542773E-1   -1.000000000000E0
  -7.352319833332E-1   -1.000000000000E0
  -7.344802123891E-1   -1.000000000000E0
  -7.337284414450E-1   -1.000000000000E0
  -7.329766705009E-1   -1.000000000000E0
  -7.322248995568E-1    1.000000000000E0
  -7.314731286127E-1    1.000000000000E0
  -7.307213576686E-1    1.000000000000E0
  -7.299695867245E-1    1.000000000000E0
  -7.292178157804E-1    1.000000000000E0
  -7.284660448363E-1    1.000000000000E0
  -7.277142738922E-1    1.000000000000E0
  -7.269625029481E-1    1.000000000000E0
  -7.262107320040E-1    1.000000000000E0
  -7.254589610599E-1    1.000000000000E0
  -7.247071901158E-1    1.000000000000E0
  -7.239554191717E-1    1.000000000000E0
  -7.232036482276E-1    1.000000000000E0
  -7.224518772835E-1    1.000000000000E0
  -7.217001063393E-1    1.000000000000E0
  -7.209483353952E-1    1.000000000000E0
  -7.201965644511E-1    1.000000000000E0
  -7.194447935070E-1   -1.000000000000E0
  -7.186930225629E-1   -1.000000000000E0
  -7.179412516188E-1   -1.000000000000E0
  -7.171894806747E-1   -1.000000000000E0
  -7.164377097306E-1   -1.000000000000E0
  -7.156859387865E-1   -1.000000000000E0
  -7.149341678424E-1   -1.000000000000E0
  -7.141823968983E-1   -1.000000000000E0
  -7.134306259542E-1   -1.000000000000E0
  -7.126788550101E-1   -1.000000000000E0
  -7.119270840660E-1   -1.000000000000E0
  -7.111753131219E-1   -1.000000000000E0
  -7.104235421778E-1   -1.000000000000E0
  -7.096717712337E-1   -1.000000000000E0
  -7.089200002896E-1   -1.000000000000E0
  -7.081682293455E-1   -1.000000000000E0
  -7.074164584014E-1    1.000000000000E0
  -7.066646874573E-1    1.000000000000E0
  -7.059129165132E-1    1.000000000000E0
  -7.051611455691E-1    1.000000000000E0
  -7.044093746250E-1    1.000000000000E0
  -7.036576036809E-1    1.000000000000E0
  -7.029058327368E-1    1.000000000000E0
  -7.021540617927E-1    1.000000000000E0
  -7.014022908486E-1    1.000000000000E0
  -7.006505199045E-1    1.000000000000E0
  -6.998987489603E-1    1.000000000000E0
  -6.991469780162E-1    1.000000000000E0
  -6.983952070721E-1    1.000000000000E0
  -6.976434361280E-1    1.000000000000E0
  -6.968916651839E-1    1.000000000000E0
  -6.961398942398E-1    1.000000000000E0
  -6.953881232957E-1   -1.000000000000E0
  -6.946363523516E-1   -1.000000000000E0
  -6.938845814075E-1   -1.000000000000E0
  -6.931328104634E-1   -1.000000000000E0
  -6.923810395193E-1   -1.000000000000E0
  -6.916292685752E-1   -1.000000000000E0
  -6.908774976311E-1   -1.000000000000E0
  -6.901257266870E-1   -1.000000000000E0
  -6.893739557429E-1   -1.000000000000E0
  -6.886221847988E-1   -1.000000000000E0
  -6.878704138547E-1   -1.000000000000E0
  -6.871186429106E-1   -1.000000000000E0
  -6.863668719665E-1   -1.000000000000E0
  -6.856151010224E-1   -1.000000000000E0
  -6.848633300783E-1   -1.000000000000E0
  -6.841115591342E-1   -1.000000000000E0
  -6.833597881901E-1    1.000000000000E0
  -6.826080172460E-1    1.000000000000E0
  -6.818562463019E-1    1.000000000000E0
  -6.811044753578E-1    1.000000000000E0
  -6.803527044137E-1    1.000000000000E0
  -6.796009334696E-1    1.000000000000E0
  -6.788491625255E-1    1.000000000000E0
  -6.780973915813E-1    1.000000000000E0
  -6.773456206372E-1    1.000000000000E0
  -6.765938496931E-1    1.000000000000E0
  -6.758420787490E-1    1.000000000000E0
  -6.750903078049E-1    1.000000000000E0
  -6.743385368608E-1    1.000000000000E0
  -6.735867659167E-1    1.000000000000E0
  -6.728349949726E-1    1.000000000000E0
  -6.720832240285E-1    1.000000000000E0
  -6.713314530844E-1   -1.000000000000E0
  -6.705796821403E-1   -1.000000000000E0
  -6.698279111962E-1   -1.000000000000E0
  -6.690761402521E-1   -1.000000000000E0
  -6.683243693080E-1   -1.000000000000E0
  -6.675725983639E-1   -1.000000000000E0
  -6.668208274198E-1   -1.000000000000E0
  -6.660690564757E-1   -1.000000000000E0
  -6.653172855316E-1   -1.000000000000E0
  -6.645655145875E-1   -1.000000000000E0
  -6.638137436434E-1   -1.000000000000E0
  -6.630619726993E-1   -1.000000000000E0
  -6.623102017552E-1   -1.000000000000E0
  -6.615584308111E-1   -1.000000000000E0
  -6.608066598670E-1   -1.000000000000E0
  -6.600548889229E-1    1.000000000000E0
  -6.593031179788E-1    1.000000000000E0
  -6.585513470347E-1    1.000000000000E0
  -6.577995760906E-1    1.000000000000E0
  -6.570478051464E-1    1.000000000000E0
  -6.562960342023E-1    1.000000000000E0
  -6.555442632582E-1    1.000000000000E0
  -6.547924923141E-1    1.000000000000E0
  -6.540407213700E-1    1.000000000000E0
  -6.532889504259E-1    1.000000000000E0
  -6.525371794818E-1    1.000000000000E0
  -6.517854085377E-1    1.000000000000E0
  -6.510336375936E-1    1.000000000000E0
  -6.502818666495E-1    1.000000000000E0
  -6.495300957054E-1    1.000000000000E0
  -6.487783247613E-1    1.000000000000E0
  -6.480265538172E-1   -1.000000000000E0
  -6.472747828731E-1   -1.000000000000E0
  -6.465230119290E-1   -1.000000000000E0
  -6.457712409849E-1   -1.000000000000E0
  -6.450194700408E-1   -1.000000000000E0
  -6.442676990967E-1   -1.000000000000E0
  -6.435159281526E-1   -1.000000000000E0
  -6.427641572085E-1   -1.000000000000E0
  -6.420123862644E-1   -1.000000000000E0
  -6.412606153203E-1   -1.000000000000E0
  -6.405088443762E-1   -1.000000000000E0
  -6.397570734321E-1   -1.000000000000E0
  -6.390053024880E-1   -1.000000000000E0
  -6.382535315439E-1   -1.000000000000E0
  -6.375017605998E-1   -1.000000000000E0
  -6.367499896557E-1    1.000000000000E0
  -6.359982187116E-1    1.000000000000E0
  -6.352464477674E-1    1.000000000000E0
  -6.344946768233E-1    1.000000000000E0
  -6.337429058792E-1    1.000000000000E0
  -6.329911349351E-1    1.000000000000E0
  -6.322393639910E-1    1.000000000000E0
  -6.314875930469E-1    1.000000000000E0
  -6.307358221028E-1    1.000000000000E0
  -6.299840511587E-1    1.000000000000E0
  -6.292322802146E-1    1.000000000000E0
  -6.284805092705E-1    1.000000000000E0
  -6.277287383264E-1    1.000000000000E0
  -6.269769673823E-1    1.000000000000E0
  -6.262251964382E-1    1.000000000000E0
  -6.254734254941E-1    1.000000000000E0
  -6.247216545500E-1   -1.000000000000E0
  -6.239698836059E-1   -1.000000000000E0
  -6.232181126618E-1   -1.000000000000E0
  -6.224663417177E-1   -1.000000000000E0
  -6.217145707736E-1   -1.000000000000E0
  -6.209627998295E-1   -1.000000000000E0
  -6.202110288854E-1   -1.000000000000E0
  -6.194592579413E-1   -1.000000000000E0
  -6.187074869972E-1   -1.000000000000E0
  -6.179557160531E-1   -1.000000000000E0
  -6.172039451090E-1   -1.000000000000E0
  -6.164521741649E-1   -1.000000000000E0
  -6.157004032208E-1   -1.000000000000E0
  -6.149486322767E-1   -1.000000000000E0
  -6.141968613326E-1   -1.000000000000E0
  -6.134450903884E-1    1.000000000000E0
  -6.126933194443E-1    1.000000000000E0
  -6.119415485002E-1    1.000000000000E0
  -6.111897775561E-1    1.000000000000E0
  -6.104380066120E-1    1.000000000000E0
  -6.096862356679E-1    1.000000000000E0
  -6.089344647238E-1    1.000000000000E0
  -6.081826937797E-1    1.000000000000E0
  -6.074309228356E-1    1.000000000000E0
  -6.066791518915E-1    1.000000000000E0
  -6.059273809474E-1    1.000000000000E0
  -6.051756100033E-1    1.000000000000E0
  -6.044238390592E-1    1.000000000000E0
  -6.036720681151E-1    1.000000000000E0
  -6.029202971710E-1    1.000000000000E0
  -6.021685262269E-1   -1.000000000000E0
  -6.014167552828E-1   -1.000000000000E0
  -6.006649843387E-1   -1.000000000000E0
  -5.999132133946E-1   -1.000000000000E0
  -5.991614424505E-1   -1.000000000000E0
  -5.984096715064E-1   -1.000000000000E0
  -5.976579005623E-1   -1.000000000000E0
  -5.969061296182E-1   -1.000000000000E0
  -5.961543586741E-1   -1.000000000000E0
  -5.954025877300E-1   -1.000000000000E0
  -5.946508167859E-1   -1.000000000000E0
  -5.938990458418E-1   -1.000000000000E0
  -5.931472748977E-1   -1.000000000000E0
  -5.923955039535E-1   -1.000000000000E0
  -5.916437330094E-1   -1.000000000000E0
  -5.908919620653E-1    1.000000000000E0
  -5.901401911212E-1    1.000000000000E0
  -5.893884201771E-1    1.000000000000E0
  -5.886366492330E-1    1.000000000000E0
  -5.878848782889E-1    1.000000000000E0
  -5.871331073448E-1    1.000000000000E0
  -5.863813364007E-1    1.000000000000E0
  -5.856295654566E-1    1.000000000000E0
  -5.848777945125E-1    1.000000000000E0
  -5.841260235684E-1    1.000000000000E0
  -5.833742526243E-1    1.000000000000E0
  -5.826224816802E-1    1.000000000000E0
  -5.818707107361E-1    1.000000000000E0
  -5.811189397920E-1    1.000000000000E0
  -5.803671688479E-1   -1.000000000000E0
  -5.796153979038E-1   -1.000000000000E0
  -5.788636269597E-1   -1.000000000000E0
  -5.781118560156E-1   -1.000000000000E0
  -5.773600850715E-1   -1.000000000000E0
  -5.766083141274E-1   -1.000000000000E0
  -5.758565431833E-1   -1.000000000000E0
  -5.751047722392E-1   -1.000000000000E0
  -5.743530012951E-1   -1.000000000000E0
  -5.736012303510E-1   -1.000000000000E0
  -5.728494594069E-1   -1.000000000000E0
  -5.720976884628E-1   -1.000000000000E0
  -5.713459175187E-1   -1.000000000000E0
  -5.705941465745E-1   -1.000000000000E0
  -5.698423756304E-1   -1.000000000000E0
  -5.690906046863E-1    1.000000000000E0
  -5.683388337422E-1    1.000000000000E0
  -5.675870627981E-1    1.000000000000E0
  -5.668352918540E-1    1.000000000000E0
  -5.660835209099E-1    1.000000000000E0
  -5.653317499658E-1    1.000000000000E0
  -5.645799790217E-1    1.000000000000E0
  -5.638282080776E-1    1.000000000000E0
  -5.630764371335E-1    1.000000000000E0
  -5.623246661894E-1    1.000000000000E0
  -5.615728952453E-1    1.000000000000E0
  -5.608211243012E-1    1.000000000000E0
  -5.600693533571E-1    1.000000000000E0
  -5.593175824130E-1    1.000000000000E0
  -5.585658114689E-1   -1.000000000000E0
  -5.578140405248E-1   -1.000000000000E0
  -5.570622695807E-1   -1.000000000000E0
  -5.563104986366E-1   -1.000000000000E0
  -5.555587276925E-1   -1.000000000000E0
  -5.548069567484E-1   -1.000000000000E0
