#             R [au]           V(R) [eV]         s10(R) [eV]         s21(R) [eV]         s45(R) [eV]         s97(R) [eV]        s206(R) [eV]        s440(R) [eV]        s938(R) [eV]       s2000(R) [eV]
    1.000000000000E0    8.220554339581E1    8.220554339581E1    8.220554339581E1    8.220554339581E1    8.220554339581E1    8.220554339581E1    8.220554339581E1    8.220554339581E1    8.220554339581E1
    1.001100110011E0    8.182938960028E1    8.208602190042E1    8.197977458210E1    8.190345099924E1    8.186375210589E1    8.184525317407E1    8.183650265548E1    8.183243036031E1    8.183054290389E1
    1.002200220022E0    8.145440203485E1    8.196650054082E1    8.175400676628E1    8.160136256429E1    8.152197214568E1    8.148499027479E1    8.146752385470E1    8.145945307608E1    8.145583563558E1
    1.003300330033E0    8.108057747358E1    8.184697945281E1    8.152824094626E1    8.129928205258E1    8.118021484488E1    8.112478202043E1    8.109866893303E1    8.108674729442E1    8.108171481449E1
    1.004400440044E0    8.070791269908E1    8.172745877216E1    8.130247811992E1    8.099721342573E1    8.083849153321E1    8.076465573344E1    8.072999983003E1    8.071444876660E1    8.070847366424E1
    1.005500550055E0    8.033640450242E1    8.160793863468E1    8.107671928515E1    8.069516064535E1    8.049681354036E1    8.040463873629E1    8.036157848524E1    8.034269324390E1    8.033640540843E1
    1.006600660066E0    7.996604968318E1    8.148841917615E1    8.085096543986E1    8.039312767308E1    8.015519219604E1    8.004475835144E1    7.999346683823E1    7.997161647760E1    7.996574100765E1
    1.007700770077E0    7.959684504937E1    8.136890053236E1    8.062521758195E1    8.009111847052E1    7.981363882996E1    7.968504190133E1    7.962572682854E1    7.960135421898E1    7.959646087075E1
    1.008800880088E0    7.922878741744E1    8.124938283911E1    8.039947670929E1    7.978913699930E1    7.947216477183E1    7.932551670844E1    7.925842039573E1    7.923204221932E1    7.922848239151E1
    1.009900990099E0    7.886187361226E1    8.112986623218E1    8.017374381979E1    7.948718722103E1    7.913078135135E1    7.896621009522E1    7.889160947936E1    7.886381622991E1    7.886172296373E1
    1.011001100110E0    7.849610046706E1    8.101035084736E1    7.994801991135E1    7.918527309735E1    7.878949989823E1    7.860714938412E1    7.852535601897E1    7.849681200201E1    7.849609998119E1
    1.012101210121E0    7.813146482346E1    8.089083682045E1    7.972230598186E1    7.888339858985E1    7.844833174218E1    7.824836189762E1    7.815972195413E1    7.813116424459E1    7.813154742960E1
    1.013201320132E0    7.776796353141E1    8.077132428724E1    7.949660302920E1    7.858156766018E1    7.810728821290E1    7.788987495815E1    7.779476922439E1    7.776694299253E1    7.776806646397E1
    1.014301430143E0    7.740559344921E1    8.065181338351E1    7.927091205129E1    7.827978426994E1    7.776638064010E1    7.753171588820E1    7.743055976930E1    7.740411678920E1    7.740567523444E1
    1.015401540154E0    7.704435144342E1    8.053230424506E1    7.904523404601E1    7.797805238075E1    7.742562035349E1    7.717391201021E1    7.706715552842E1    7.704264530014E1    7.704439189117E1
    1.016501650165E0    7.668423438891E1    8.041279700767E1    7.881957001126E1    7.767637595424E1    7.708501868277E1    7.681649064664E1    7.670461844130E1    7.668248819092E1    7.668423458432E1
    1.017601760176E0    7.632523916879E1    8.029329180715E1    7.859392094493E1    7.737475895202E1    7.674458695764E1    7.645947911995E1    7.634301044749E1    7.632360512708E1    7.632521705356E1
    1.018701870187E0    7.596736267444E1    8.017378877927E1    7.836828784491E1    7.707320533572E1    7.640433650783E1    7.610290475261E1    7.598239348655E1    7.596595577416E1    7.596733507606E1
    1.019801980198E0    7.561060180540E1    8.005428805983E1    7.814267170911E1    7.677171906695E1    7.606427866302E1    7.574679486706E1    7.562282949804E1    7.560949979772E1    7.561057985679E1
    1.020902090209E0    7.525495346947E1    7.993478978462E1    7.791707353542E1    7.647030410733E1    7.572442475294E1    7.539117678577E1    7.526438042151E1    7.525419686331E1    7.525494260068E1
    1.022002200220E0    7.490041458256E1    7.981529408943E1    7.769149432173E1    7.616896441849E1    7.538478610728E1    7.503607783119E1    7.490710819651E1    7.490000663647E1    7.490041451270E1
    1.023102310231E0    7.454698206879E1    7.969580111005E1    7.746593506593E1    7.586770396204E1    7.504537405576E1    7.468152532580E1    7.455107476260E1    7.454688878275E1    7.454698798086E1
    1.024202420242E0    7.419465286036E1    7.957631098227E1    7.724039676593E1    7.556652669960E1    7.470619992807E1    7.432754659203E1    7.419634205933E1    7.419480520728E1    7.419466024050E1
    1.025302530253E0    7.384342389762E1    7.945682384189E1    7.701488041961E1    7.526543659279E1    7.436727505393E1    7.397416895236E1    7.384297187360E1    7.384374474372E1    7.384342976823E1
    1.026402640264E0    7.349329212898E1    7.933733982468E1    7.678938702488E1    7.496443760323E1    7.402861076304E1    7.362141972924E1    7.349100148579E1    7.349371403304E1    7.349329504064E1
    1.027502750275E0    7.314425451094E1    7.921785906645E1    7.656391757962E1    7.466353369254E1    7.369021838511E1    7.326932624513E1    7.314041693048E1    7.314472003309E1    7.314425453435E1
    1.028602860286E0    7.279630800803E1    7.909838170298E1    7.633847308173E1    7.436272882234E1    7.335210924985E1    7.291791582249E1    7.279119781076E1    7.279676970176E1    7.279630641913E1
    1.029702970297E0    7.244944959282E1    7.897890787006E1    7.611305452910E1    7.406202695426E1    7.301429468696E1    7.256721578377E1    7.244332372973E1    7.244986999689E1    7.244944760001E1
    1.030803080308E0    7.210367624588E1    7.885943770349E1    7.588766291964E1    7.376143204990E1    7.267678602614E1    7.221725345145E1    7.209677429047E1    7.210402787636E1    7.210367465622E1
    1.031903190319E0    7.175898495577E1    7.873997133905E1    7.566229925123E1    7.346094807089E1    7.233959459712E1    7.186805614796E1    7.175152909609E1    7.175925029802E1    7.175898416696E1
    1.033003300330E0    7.141537271899E1    7.862050891254E1    7.543696452178E1    7.316057897885E1    7.200273172958E1    7.151965119579E1    7.140756774968E1    7.141554421976E1    7.141537271146E1
    1.034103410341E0    7.107283654003E1    7.850105055974E1    7.521165972916E1    7.286032873540E1    7.166620875325E1    7.117206591737E1    7.106486985433E1    7.107291659942E1    7.107283695875E1
    1.035203520352E0    7.073137343126E1    7.838159641645E1    7.498638587129E1    7.256020130215E1    7.133003699782E1    7.082532763518E1    7.072341501313E1    7.073137439488E1    7.073137395031E1
    1.036303630363E0    7.039098041297E1    7.826214661846E1    7.476114394606E1    7.226020064073E1    7.099422779300E1    7.047946367166E1    7.038318282919E1    7.039092255585E1    7.039098082416E1
    1.037403740374E0    7.005165451333E1    7.814270130155E1    7.453593495135E1    7.196033071276E1    7.065879246850E1    7.013450134929E1    7.004415290560E1    7.005155765800E1    7.005165471829E1
    1.038503850385E0    6.971339276838E1    7.802326060152E1    7.431075988506E1    7.166059547986E1    7.032374235402E1    6.979046799051E1    6.970630484544E1    6.971327409454E1    6.971339277073E1
    1.039603960396E0    6.937619222199E1    7.790382465416E1    7.408561974510E1    7.136099890364E1    6.998908877928E1    6.944739091779E1    6.936961825182E1    6.937606625869E1    6.937619210350E1
