#  n                 E_n      E_n s10 [a.u.]      E_n s21 [a.u.]      E_n s45 [a.u.]      E_n s97 [a.u.]     E_n s206 [a.u.]     E_n s440 [a.u.]     E_n s938 [a.u.]    E_n s2000 [a.u.]
   0  -7.447771143425E-1  -8.850221310091E-1  -8.184606975101E-1  -7.447949721392E-1  -7.447813429389E-1  -7.447773269139E-1  -7.447771244824E-1  -7.447771148314E-1  -7.447771143661E-1
   1  -7.323695095981E-1  -8.696665662087E-1  -7.981219701606E-1  -7.326941866766E-1  -7.323740302388E-1  -7.323697203913E-1  -7.323695196532E-1  -7.323695100829E-1  -7.323695096215E-1
   2  -7.200661269031E-1  -8.543555752522E-1  -7.783356846811E-1  -7.205347429353E-1  -7.200697124618E-1  -7.200663359182E-1  -7.200661368734E-1  -7.200661273839E-1  -7.200661269263E-1
   3  -7.078669662078E-1  -8.390897784711E-1  -7.591882978106E-1  -7.084055539912E-1  -7.078727524660E-1  -7.078671734458E-1  -7.078669760933E-1  -7.078669666844E-1  -7.078669662308E-1
   4  -6.957720274662E-1  -8.238698167148E-1  -7.407961883625E-1  -6.963366989152E-1  -6.957766775131E-1  -6.957722329165E-1  -6.957720372668E-1  -6.957720279387E-1  -6.957720274890E-1
   5  -6.837813106364E-1  -8.086963524910E-1  -7.232888180271E-1  -6.843405784896E-1  -6.837851739564E-1  -6.837815143456E-1  -6.837813203522E-1  -6.837813111048E-1  -6.837813106590E-1
   6  -6.718948156803E-1  -7.935700713832E-1  -7.067321041948E-1  -6.724252474686E-1  -6.718985422945E-1  -6.718950176658E-1  -6.718948253113E-1  -6.718948161447E-1  -6.718948157027E-1
   7  -6.601125425636E-1  -7.784916842591E-1  -6.910738534329E-1  -6.605933896638E-1  -6.601159779165E-1  -6.601127417856E-1  -6.601125521098E-1  -6.601125430239E-1  -6.601125425858E-1
   8  -6.484344912554E-1  -7.634619316667E-1  -6.762410846204E-1  -6.488498161826E-1  -6.484379181030E-1  -6.484346921217E-1  -6.484345007168E-1  -6.484344917116E-1  -6.484344912774E-1
   9  -6.368606617282E-1  -7.484815934239E-1  -6.621721449166E-1  -6.371992662481E-1  -6.368643957622E-1  -6.368608574707E-1  -6.368606711048E-1  -6.368606621803E-1  -6.368606617500E-1
  10  -6.253910539580E-1  -7.335515083497E-1  -6.487880928889E-1  -6.256455603519E-1  -6.253949071524E-1  -6.253912374521E-1  -6.253910632497E-1  -6.253910544060E-1  -6.253910539796E-1
  11  -6.140256679238E-1  -7.186726095195E-1  -6.360156885061E-1  -6.141934497539E-1  -6.140291337985E-1  -6.140258863082E-1  -6.140256771307E-1  -6.140256683677E-1  -6.140256679452E-1
  12  -6.027645036078E-1  -7.038459760601E-1  -6.237755963103E-1  -6.028470120665E-1  -6.027674842834E-1  -6.027646821570E-1  -6.027645127299E-1  -6.027645040476E-1  -6.027645036290E-1
  13  -5.916075609950E-1  -6.890728909210E-1  -6.119912149970E-1  -5.916091839516E-1  -5.916104444994E-1  -5.916077308191E-1  -5.916075700323E-1  -5.916075614308E-1  -5.916075610161E-1
  14  -5.805548400735E-1  -6.743548784985E-1  -6.005884208191E-1  -5.804812105055E-1  -5.805578051378E-1  -5.805550421273E-1  -5.805548490260E-1  -5.805548405051E-1  -5.805548400943E-1
  15  -5.696063408338E-1  -6.596936883225E-1  -5.894970733103E-1  -5.694628345489E-1  -5.696093808335E-1  -5.696065424009E-1  -5.696063497015E-1  -5.696063412614E-1  -5.696063408544E-1
  16  -5.587620632692E-1  -6.450912061516E-1  -5.786550162774E-1  -5.585533139954E-1  -5.587652407327E-1  -5.587622493563E-1  -5.587620720521E-1  -5.587620636927E-1  -5.587620632897E-1
