#  n     ΔE_n s10 [a.u.]     ΔE_n s21 [a.u.]     ΔE_n s45 [a.u.]     ΔE_n s97 [a.u.]    ΔE_n s206 [a.u.]    ΔE_n s440 [a.u.]    ΔE_n s938 [a.u.]   ΔE_n s2000 [a.u.]
   0   1.402450166666E-1   7.368358316761E-2   1.785779667074E-5   4.228596356626E-6   2.125713576273E-7   1.013992734222E-8  4.889142424247E-10  2.359556994236E-11
   1   1.372970566107E-1   6.575246056253E-2   3.246770785230E-4   4.520640704664E-6   2.107932528528E-7   1.005511385266E-8  4.848250689804E-10  2.340350135910E-11
   2   1.342894483490E-1   5.826955777794E-2   4.686160321208E-4   3.585558664643E-6   2.090150728051E-7   9.970294811978E-9  4.807367837145E-10  2.320055259020E-11
   3   1.312228122634E-1   5.132133160280E-2   5.385877834306E-4   5.786258239104E-6   2.072380098639E-7   9.885470886317E-9  4.766427252889E-10  2.300148960188E-11
   4   1.280977892486E-1   4.502416089633E-2   5.646714490549E-4   4.650046936505E-6   2.054503739357E-7   9.800652511771E-9  4.725545510453E-10  2.280786670639E-11
   5   1.249150418546E-1   3.950750739072E-2   5.592678532281E-4   3.863320002906E-6   2.037092000640E-7   9.715839577318E-9  4.684662657795E-10  2.261313358787E-11
   6   1.216752557029E-1   3.483728851452E-2   5.304317883005E-4   3.726614189681E-6   2.019854649093E-7   9.631021646861E-9  4.643726514431E-10  2.241229424271E-11
   7   1.183791416955E-1   3.096131086934E-2   4.808471002098E-4   3.435352887937E-6   1.992219977875E-7   9.546208934452E-9  4.602903613815E-10  2.221622885656E-11
   8   1.150274404114E-1   2.780659336499E-2   4.153249271902E-4   3.426847592136E-6   2.008662858266E-7   9.461385341858E-9  4.561969690897E-10  2.201905324739E-11
   9   1.116209316957E-1   2.531148318836E-2   3.386045199311E-4   3.734033973801E-6   1.957425111998E-7   9.376567633446E-9  4.521089058684E-10  2.182154457131E-11
  10   1.081604543918E-1   2.339703893096E-2   2.545063938955E-4   3.853194444625E-6   1.834941423251E-7   9.291750036056E-9  4.480164017551E-10  2.162314771681E-11
  11   1.046469415957E-1   2.199002058233E-2   1.677818301254E-4   3.465874750641E-6   2.183844466375E-7   9.206932438666E-9  4.439290046676E-10  2.142919175441E-11
  12   1.010814724523E-1   2.101109270250E-2   8.250845874302E-5   2.980675662956E-6   1.785492692585E-7   9.122115063320E-9  4.398419406471E-10  2.123501374740E-11
  13   9.746532992593E-2   2.038365400197E-2   1.622956572467E-6   2.883504336415E-6   1.698241106629E-7   9.037298243086E-9  4.357494365337E-10  2.103495155836E-11
  14   9.380003842503E-2   2.003358074566E-2   7.362956795132E-5   2.965064352156E-6   2.020538183434E-7   8.952481200808E-9  4.316573765095E-10  2.083888617221E-11
  15   9.008734748873E-2   1.989073247654E-2   1.435062848575E-4   3.039999686982E-6   2.015670612643E-7   8.867659162526E-9  4.275653164854E-10  2.063715864864E-11
  16   8.632914288236E-2   1.989295300816E-2   2.087492738638E-4   3.177463447690E-6   1.860870340042E-7   8.782841787180E-9  4.234785855317E-10  2.043964997256E-11
